set_number,set_name,year_released,number_of_parts,theme_name
42077-1,Rally Car,2018,1005,Technic
42078-1,Mack Anthem,2018,2595,Technic
42079-1,Heavy Duty Forklift,2018,592,Technic
42080-1,Forest Machine,2018,1003,Technic
42081-1,Volvo Concept Wheel Loader ZEUX,2018,1167,Technic
42082-1,Rough Terrain Crane,2018,4056,Technic
42083-1,Bugatti Chiron,2018,3599,Technic
42084-1,Hook Loader,2018,176,Technic
42088-1,Cherry Picker,2019,155,Technic
42089-1,Power Boat,2019,174,Technic
42090-1,Getaway Truck,2019,128,Technic
42091-1,Police Pursuit,2019,120,Technic
42092-1,Rescue Helicopter,2019,325,Technic
42093-1,Chevrolet Corvette ZR1,2019,579,Technic
42094-1,Tracked Loader,2019,827,Technic
42095-1,Remote-Controlled Stunt Racer,2019,324,Technic
42096-1,Porsche 911 RSR,2019,1580,Technic
42097-1,Compact Crawler Crane,2019,920,Technic
42098-1,Car Transporter,2019,2493,Technic
42099-1,4x4 X-treme Off-Roader,2019,958,Technic
42100-1,Liebherr R 9800 Excavator,2019,4108,Technic
42101-1,Buggy,2020,117,Technic
42102-1,Mini CLAAS XERION,2020,130,Technic
42103-1,Dragster,2020,225,Technic
42104-1,Race Truck,2020,227,Technic
42105-1,Catamaran,2020,405,Technic
42106-1,Stunt Show Truck & Bike,2020,610,Technic
42107-1,Ducati Panigale V4 R,2020,646,Technic
42108-1,Mobile Crane,2020,1292,Technic
42109-1,App-Controlled Top Gear Rally Car,2020,463,Technic
42110-1,Land Rover Defender,2019,2573,Technic
42111-1,Dom's Dodge Charger,2020,1077,Technic
42112-1,Cement Mixer,2020,1161,Technic
42113-1,Bell Boeing V-22 Osprey,2020,1636,Technic
42114-1,6x6 Volvo Articulated Hauler,2020,2193,Technic
42115-1,Lamborghini Sián FKP 37,2020,3696,Technic
42116-1,Skid Steer Loader,2021,139,Technic
42117-1,Race Plane,2021,154,Technic
42118-1,Monster Jam Grave Digger,2021,212,Technic
42119-1,Monster Jam Max-D,2021,230,Technic
42120-1,Rescue Hovercraft,2021,457,Technic
42121-1,Heavy-Duty Excavator,2021,569,Technic
42122-1,Jeep Wrangler,2021,665,Technic
42123-1,McLaren Senna GTR,2021,830,Technic
42124-1,Off-Road Buggy,2021,374,Technic
42125-1,"Ferrari 488 GTE ""AF Corse #51""",2021,1677,Technic
42126-1,Ford F-150 Raptor,2021,1379,Technic
42127-1,The Batman - Batmobile,2021,1360,Technic
42128-1,Heavy Duty Tow Truck,2021,2017,Technic
42129-1,4x4 Mercedes-Benz Zetros Trial Truck,2021,2131,Technic
42130-1,BMW Motorrad M 1000 RR,2022,1918,Technic
42131-1,Cat D11 Bulldozer,2021,3854,Technic
42132-1,Motorcycle,2022,163,Technic
42133-1,Telehandler,2022,143,Technic
42134-1,Monster Jam Megalodon,2022,260,Technic
42135-1,Monster Jam El Toro Loco,2022,247,Technic
42136-1,John Deere 9620R 4WD Tractor,2022,390,Technic
42137-1,Formula E Porsche 99X Electric,2022,422,Technic
42138-1,Ford Mustang Shelby GT500,2022,544,Technic
42139-1,All-Terrain Vehicle,2022,764,Technic
42140-1,App-Controlled Transformation Vehicle,2022,772,Technic
42141-1,McLaren Formula 1 Team 2022 (First Edition),2022,1432,Technic
42141-2,McLaren Formula 1 Team 2022 (Second Edition),2022,1432,Technic
42143-1,Ferrari Daytona SP3,2022,3778,Technic
42144-1,Material Handler,2022,835,Technic
42145-1,Airbus H175 Rescue Helicopter,2022,2001,Technic
42146-1,Liebherr Crawler Crane LR 13000,2023,2883,Technic
42147-1,Dump Truck,2023,177,Technic
42148-1,Snow Groomer,2023,178,Technic
42149-1,Monster Jam Dragon,2023,217,Technic
42150-1,Monster Jam Monster Mutt Dalmatian,2023,244,Technic
42151-1,Bugatti Bolide,2023,905,Technic
42152-1,Firefighter Aircraft,2023,1134,Technic
42153-1,NASCAR Next Gen Chevrolet Camaro ZL1,2023,672,Technic
42154-1,2022 Ford GT,2023,1466,Technic
42155-1,The Batman - Batcycle,2023,641,Technic
42156-1,Peugeot 9X8 Le Mans Hybrid Hypercar,2023,1775,Technic
42157-1,John Deere 948L-II Skidder,2023,1492,Technic
42158-1,NASA Mars Rover Perseverance,2023,1132,Technic
42159-1,Yamaha MT-10 SP,2023,1478,Technic
42160-1,Audi RS Q e-tron,2023,914,Technic
42161-1,Lamborghini Huracán Tecnica,2023,806,Technic
42162-1,Bugatti Bolide Agile Blue,2023,905,Technic
5004193-1,Technic Racer Collection,2014,0,Technic
65340-1,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004,0,Technic
66300-1,Technic Kettenbagger-Co-pack,2008,0,Technic
66318-1,Technic Super Pack 4 in 1,2009,0,Technic
66359-1,Technic Super Pack 4 in 1,2010,0,Technic
66397-1,Technic Super Pack 4 in 1,2011,0,Technic
66433-1,Technic Super Pack 3 in 1,2012,0,Technic
66712-1,Monster Jam Collection,2022,0,Technic
8041-1,Race Truck,2010,608,Technic
8043-1,Motorized Excavator,2010,1127,Technic
8045-1,Mini Telehandler,2010,117,Technic
8046-1,Helicopter,2010,152,Technic
8047-1,Compact Excavator,2010,252,Technic
8048-1,Buggy,2010,314,Technic
8049-1,Tractor with Log Loader,2010,525,Technic
8051-1,Motorbike,2010,467,Technic
8052-1,Container Truck,2010,686,Technic
8053-1,Mobile Crane,2010,1289,Technic
8063-1,Tractor with Trailer,2009,1100,Technic
8065-1,Mini Container Truck,2011,119,Technic
8066-1,Off-Roader,2011,141,Technic
8067-1,Mini Mobile Crane,2011,292,Technic
8068-1,Rescue Helicopter,2011,408,Technic
8069-1,Backhoe Loader,2011,609,Technic
8070-1,Supercar,2011,1281,Technic
8071-1,Lift Truck,2011,593,Technic
8081-1,Extreme Cruiser,2011,590,Technic
8109-1,Flatbed Truck,2011,1115,Technic
8110-1,Unimog U400,2011,2048,Technic
8203-1,Rover Discovery,1998,37,Technic
8204-1,Sky Flyer I,1998,41,Technic
8205-1,Bungee Blaster,1997,64,Technic
8207-1,Dune Duster / Hawaiian Beach Racer,1996,82,Technic
8208-1,Custom Cruiser,1998,53,Technic
8209-1,Future F1,1998,49,Technic
8210-1,Nitro Bike GTX / GTX 500,1995,86,Technic
8213-1,Spy Runner,1998,93,Technic
8215-1,Gyro Copter,1997,108,Technic
8216-1,Turbo I,1997,91,Technic
8217-1,The Wasp,1998,64,Technic
8218-1,Trike Tourer,1998,70,Technic
8219-1,Go-Cart,1998,101,Technic
8222-1,V-TOL,1997,141,Technic
8223-1,Hydrofoil 7 / Powerboat Columbia,1996,126,Technic
8225-1,Road Rally V / Super Kart,1995,97,Technic
8226-1,Mud Masher / Desert Stormer,1998,121,Technic
8229-1,Tread Trekker,1997,186,Technic
8230-1,Coastal Cop Buggy / Miami Police Patrol,1996,176,Technic
8232-1,Chopper Force,1997,278,Technic
8235-1,Front End Loader,1995,166,Technic
8246-1,Hydro Racer / Swamp Boat,1999,46,Technic
8247-1,Road Rebel / Buggy Racer,1999,44,Technic
8248-1,Forklift,1998,227,Technic
8250-1,Search Sub [No CD],1997,378,Technic
8251-1,Sonic Cycle,1999,89,Technic
8252-1,Beach Buster / Police Car,1999,167,Technic
8253-1,Fire Helicopter,1999,211,Technic
8255-1,Rescue Bike,1999,193,Technic
8256-1,Go-Kart,2009,144,Technic
8258-1,Crane Truck,2009,1877,Technic
8259-1,Mini Bulldozer,2009,165,Technic
8260-1,Tractor,2009,104,Technic
8261-1,Rally Truck,2009,198,Technic
8262-1,Quad Bike,2009,308,Technic
8263-1,Snow Groomer,2009,590,Technic
8264-1,Hauler,2009,575,Technic
8265-1,Front Loader,2009,1061,Technic
8270-1,Rough Terrain Crane,2007,106,Technic
8271-1,Wheel Loader,2007,200,Technic
8272-1,Snowmobile,2007,333,Technic
8273-1,Off Road Truck,2007,805,Technic
8274-1,Combine Harvester,2007,1025,Technic
8275-1,Motorized Bulldozer,2007,1381,Technic
8277-1,Giant Model Set,1997,554,Technic
8279-1,4WD X-Track,2000,449,Technic
8280-1,Fire Engine / Fire Response Unit,1995,439,Technic
8281-1,Mini Tractor,2006,128,Technic
8282-1,Quad Bike,2006,200,Technic
8283-1,Telehandler,2006,323,Technic
8284-1,Tractor,2006,872,Technic
8285-1,Tow Truck,2006,1879,Technic
8286-1,3 In 1 Car / Amphipower,1996,727,Technic
8288-1,Crawler Crane,2006,800,Technic
8289-1,Fire Truck,2006,1035,Technic
8290-1,Mini Forklift,2008,88,Technic
8291-1,Dirt Bike,2008,248,Technic
8292-1,Cherry Picker,2008,725,Technic
8294-1,Excavator,2008,720,Technic
8295-1,Telescopic Handler,2008,1182,Technic
8296-1,Dune Buggy,2008,199,Technic
8297-1,Off-Roader,2008,1097,Technic
8299-1,Search Sub [with CD],1997,379,Technic
8408-1,Desert Ranger,1996,289,Technic
8412-1,Nighthawk / Sky Wasp,1995,284,Technic
8414-1,Mountain Rambler,1997,244,Technic
8415-1,Dump Truck,2005,284,Technic
8416-1,Forklift,2005,729,Technic
8417-1,Mag Wheel Master,1998,315,Technic
8418-1,Mini Loader,2005,66,Technic
8419-1,Excavator,2005,286,Technic
8420-1,Street Bike,2005,506,Technic
8421-1,Mobile Crane,2005,1885,Technic
8422-1,Circuit Shock Racer / V-Twin Super Bike,1995,315,Technic
8425-1,Black Hawk / Sky Stormer,1996,469,Technic
8428-1,Turbo Command Featuring CD-ROM Experience Expander,1998,472,Technic
8429-1,Helicopter,2002,149,Technic
8430-1,Motorbike,2002,315,Technic
8431-1,Crane Truck,2002,836,Technic
8432-1,Supersonic Car,1998,471,Technic
8433-1,Cool Movers,2004,215,Technic
8434-1,Aircraft,2004,445,Technic
8435-1,4WD,2004,763,Technic
8436-1,Truck,2004,1032,Technic
8437-1,Future Car,1997,418,Technic
8438-1,Pneumatic Crane Truck,2003,846,Technic
8439-1,Front End Loader,2004,592,Technic
8440-1,Formula Flash,1995,419,Technic
8441-1,Fork Lift Truck,2003,69,Technic
8443-1,Pneumatic Log Loader / Pneumatic Logger,1996,334,Technic
8444-1,Air Enforcer / Supercopter,1999,309,Technic
8445-1,Indy Storm / Formula 1 Racer,1999,434,Technic
8446-1,Crane Truck,1999,573,Technic
8448-1,Super Street Sensation,1999,1406,Technic
8451-1,Dumper,2003,183,Technic
8453-1,Front End Loader,2003,214,Technic
8453-2,Front-End Loader Black Box,2004,214,Technic
8454-1,Rescue Truck,2003,634,Technic
8455-1,Backhoe Loader,2003,704,Technic
8456-1,Fiber Optic Multi Set / Multi Racer Set (with Fibre Optics),1996,406,Technic
8457-1,Power Puller,2000,980,Technic
8458-1,Silver Champion,2000,1433,Technic
8459-1,Pneumatic Front-End Loader,1997,596,Technic
8460-1,Pneumatic Crane Truck / Mobile Crane,1995,863,Technic
8462-1,Tow Truck,1998,786,Technic
8463-1,Forklift & Truck,2001,232,Technic
8464-1,Pneumatic Front End Loader,2001,583,Technic
8465-1,Extreme Off-Roader,2001,364,Technic
8466-1,4x4 Off Roader,2001,1103,Technic
8479-1,Barcode Multi-Set,1997,1274,Technic
8480-1,Space Shuttle,1996,1366,Technic
8620-1,Snow Scooter,1986,98,Technic
8640-1,Polar Copter,1986,242,Technic
8660-1,Arctic Rescue Unit,1986,387,Technic
8680-1,Arctic Rescue Base,1986,527,Technic
8808-1,F1 Racer,1994,94,Technic
8810-1,Cafe Racer,1991,80,Technic
8812-1,Aero Hawk II,1994,149,Technic
8815-1,Speedway Bandit,1991,78,Technic
8816-1,Off-Road Rambler,1994,185,Technic
8818-1,Baja Blaster,1993,120,Technic
8820-1,Mountain Rambler,1991,139,Technic
8824-1,Hovercraft,1994,193,Technic
8825-1,Night Chopper,1991,113,Technic
8826-1,ATX Sport Cycle,1993,95,Technic
8828-1,Front End Loader,1993,175,Technic
8829-1,Dune Blaster,1994,278,Technic
8830-1,Rally 6-Wheeler,1990,169,Technic
8832-1,Roadster,1988,86,Technic
8835-1,Forklift,1989,240,Technic
8836-1,Sky Ranger,1993,273,Technic
8837-1,Pneumatic Excavator,1992,255,Technic
8838-1,Shock Cycle,1991,247,Technic
8839-1,Supply Ship,1992,532,Technic
8840-1,Rally Shock n' Roll Racer,1991,229,Technic
8841-1,Desert Racer,1983,180,Technic
8842-1,Go-Cart,1986,282,Technic
8843-1,Fork Lift Truck,1984,275,Technic
8849-1,Tractor,1986,347,Technic
8850-1,Rally Support Truck,1990,360,Technic
8851-1,Excavator,1984,362,Technic
8852-1,Robot,1987,327,Technic
8853-1,Excavator / Digger,1988,326,Technic
8854-1,Power Crane,1989,517,Technic
8855-1,Prop Plane,1988,572,Technic
8856-1,Whirlwind Rescue,1991,517,Technic
8857-1,Street Chopper / Trike,1993,378,Technic
8858-1,Rebel Wrecker,1994,463,Technic
8862-1,Backhoe Grader,1989,679,Technic
8865-1,Test Car,1988,898,Technic
8868-1,Airtech Claw Rig,1992,954,Technic
8872-1,Forklift Transporter,1993,763,Technic
8880-1,Super Car,1994,1346,Technic
9390-1,Mini Tow Truck,2012,138,Technic
9391-1,Mini Crane,2012,218,Technic
9392-1,Quad Bike,2012,199,Technic
9393-1,Tractor,2012,353,Technic
9394-1,Jet Plane,2012,499,Technic
9395-1,Pick-Up Tow Truck,2012,954,Technic
9396-1,Helicopter,2012,1056,Technic
9397-1,Logging Truck,2012,1308,Technic
9398-1,4 x 4 Crawler,2012,1327,Technic
KABTEC-1,Kabaya Technic Vehicle 4-Pack,1999,0,Technic
TSUPER-1,Technic Racer,1991,263,Technic
2854-1,Bungee Chopper,1998,71,Competition
3038-1,Spider Slayer,1998,368,Competition
8202-1,Blast Off Chopper with Bungee Cord Power!,1998,71,Competition
8233-1,Blue Thunder versus The Stinger,1998,119,Competition
8239-1,Cyber Challenge,1998,122,Competition
8241-1,Battle Cars,2001,111,Competition
8245-1,Robot's Revenge,1998,223,Competition
8257-1,Cyber Strikers,1998,369,Competition
8266-1,Spyder Slayer,1998,368,Competition
8268-1,Scorpion Attack,1999,79,Competition
8269-1,Competition Ultra Challenge [aka Cyber Stinger],1999,329,Competition
8305-1,Duel Bikes,2000,208,Competition
8307-1,Turbo Racer,2000,393,Competition
8450-1,Mission Experience Pack,2000,644,Competition
8482-1,CyberMaster,1998,897,Competition
8483-1,CyberMaster,1998,897,Competition
880001-1,Competition Racers with Stopwatch,1998,0,Competition
tech007promo-1,Technic Figure Cyber Person Promotional Polybag - [Toy Fair Nuernberg Promotion 1998],1998,1,Competition
850-1,Fork Lift Truck,1977,216,Expert Builder
851-1,Tractor,1977,324,Expert Builder
852-1,Reconnaisance Helicopter,1977,364,Expert Builder
853-1,Auto Chassis,1977,608,Expert Builder
854-1,Go-Kart,1978,212,Expert Builder
855-1,Mobile Crane,1978,511,Expert Builder
856-1,Bulldozer,1979,367,Expert Builder
857-1,Motorbike with Sidecar,1979,403,Expert Builder
858-1,Auto Engines,1980,242,Expert Builder
8700-1,Expert Builder Power Pack,1982,27,Expert Builder
870-1,4.5V Supplementary Set,1977,22,Expert Builder
871-1,Supplementary Set,1977,78,Expert Builder
872-1,Supplementary Set,1978,77,Expert Builder
874-1,Supplementary Set,1979,38,Expert Builder
875-1,Supplementary Set,1979,38,Expert Builder
876-1,Supplementary Set,1979,38,Expert Builder
877-1,Supplementary Set,1979,30,Expert Builder
878-1,Supplementary Set,1979,52,Expert Builder
879-1,Supplementary Set,1979,87,Expert Builder
880-1,Supplementary Set,1979,22,Expert Builder
8844-1,Helicopter,1981,316,Expert Builder
8845-1,Dune Buggy,1981,174,Expert Builder
8846-1,Tow Truck,1982,379,Expert Builder
8847-1,Dragster,1983,248,Expert Builder
8848-1,Power Truck,1981,398,Expert Builder
8857-2,Motorcycle,1980,409,Expert Builder
8858-2,Auto Engines,1980,242,Expert Builder
8859-1,Tractor,1981,612,Expert Builder
8860-1,Car Chassis,1980,676,Expert Builder
948-1,Go-Kart,1978,212,Expert Builder
950-1,Fork Lift,1979,216,Expert Builder
951-1,Bulldozer,1979,373,Expert Builder
952-1,Tractor,1978,322,Expert Builder
954-1,Sky Copter,1978,364,Expert Builder
955-1,Mobile Crane,1979,512,Expert Builder
956-1,Auto Chassis,1978,603,Expert Builder
960-1,Power Pack,1978,22,Expert Builder
961-1,Expert Builder/Gear Parts,1978,78,Expert Builder
98959-1,Motor,1977,40,Expert Builder
1290-1,Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,35,RoboRiders
1291-1,Power Bike,2000,32,RoboRiders
1292-1,Kabaya Promotional Set: White (Ice Explorer) RoboRider,2000,34,RoboRiders
1293-1,Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,25,RoboRiders
78675-1,Exclusive RoboRiders Six Set Limited Edition Value Pack,2000,0,RoboRiders
8003-1,Volcano Climber,2000,35,RoboRiders
8004-1,Dirt Bike,2000,32,RoboRiders
8005-1,Ice Explorer,2000,34,RoboRiders
8006-1,Swamp Craft,2000,25,RoboRiders
8509-1,Swamp,2000,43,RoboRiders
8510-1,Lava,2000,33,RoboRiders
8511-1,Frost,2000,43,RoboRiders
8512-1,Onyx,2000,36,RoboRiders
8513-1,Dust,2000,43,RoboRiders
8514-1,Power,2000,31,RoboRiders
8515-1,RoboRider Wheels,2000,0,RoboRiders
8516-1,The Boss,2000,122,RoboRiders
880010-1,Exclusive Roboriders Pack,2001,0,RoboRiders
880011-1,Exclusive Roboriders Pack,2001,0,RoboRiders
880012-1,Exclusive Roboriders Pack,2001,0,RoboRiders
C8509-1,Swamp + Lava,2000,0,RoboRiders
C8509-2,Dust + Lava + Swamp,2000,0,RoboRiders
C8509-3,Swamp + Frost + Onyx + Dust,2000,0,RoboRiders
C8509-4,Swamp + Frost + Onyx + Dust + Power,2000,0,RoboRiders
C8509-5,Swamp + Lava + Frost + Onyx + Dust + Power,2000,0,RoboRiders
C8511-1,Frost + Dust,2000,0,RoboRiders
C8511-2,Frost + Onyx + Power,2000,0,RoboRiders
C8512-1,Onyx + Power,2000,0,RoboRiders
KABROBO-1,Kabaya RoboRiders 4-Pack,2000,0,RoboRiders
8236-1,Bike Burner,2000,60,Speed Slammers
8237-1,Slammer Racer / Formula Force,2000,112,Speed Slammers
8238-1,Slammer Dragsters / Dueling Dragsters,2000,202,Speed Slammers
8240-1,Slammer Stunt Bike,2001,153,Speed Slammers
8242-1,Slammer Turbo,2001,249,Speed Slammers
65081-1,R2-D2 / C-3PO Droid Collectors Set,2002,1,Star Wars
8000-1,Pit Droid,2000,223,Star Wars
8001-1,Battle Droid,2000,336,Star Wars
8002-1,Destroyer Droid,2000,567,Star Wars
8007-1,C-3PO,2001,339,Star Wars
8008-1,Stormtrooper,2001,361,Star Wars
8009-1,R2-D2,2002,239,Star Wars
8010-1,Darth Vader,2002,388,Star Wars
8011-1,Jango Fett,2002,425,Star Wars
8012-1,Super Battle Droid,2002,378,Star Wars
K8008-1,Darth Vader / Stormtrooper Kit,2002,0,Star Wars
5206-1,Speed Computer,2000,19,Supplemental
5218-1,Pneumatic Pack,2000,152,Supplemental
5219-1,Wheel Pack,2000,28,Supplemental
5220-1,Styling Pack,2000,221,Supplemental
5221-1,Motor Pack,2000,55,Supplemental
5222-1,Chassis Pack,2000,137,Supplemental
5223-1,Windup Motor,2001,41,Supplemental
8287-1,Motor Box,2006,93,Supplemental
8300-1,TECHNIC Team,2000,7,Supplemental
8710-1,Expert Builder Parts Pack,1980,124,Supplemental
8712-1,Action Figures,1988,14,Supplemental
8714-1,TECHNIC Team,1993,9,Supplemental
8720-1,Power Pack,1991,56,Supplemental
8735-1,Power Pack Motor Set,1998,60,Supplemental
9637-1,Speed Computer Add-on,2000,2,Supplemental
970124-1,Linear Actuators,2010,3,Supplemental
1061-1,Single Disk Pack,2000,0,Throwbot Slizer
8500-1,Torch / Fire Slizer,1999,33,Throwbot Slizer
8501-1,Ski / Ice Slizer,1999,34,Throwbot Slizer
8502-1,Turbo / City Slizer,1999,45,Throwbot Slizer
8503-1,Scuba / Sub Slizer,1999,39,Throwbot Slizer
8504-1,Jet / Judge Slizer,1999,44,Throwbot Slizer
8505-1,Amazon / Jungle Slizer,1999,36,Throwbot Slizer
8506-1,Granite / Rock Slizer,1999,34,Throwbot Slizer
8507-1,Electro / Energy Slizer,1999,37,Throwbot Slizer
8508-1,Supplementary Disks,1999,0,Throwbot Slizer
8520-1,Millennium/Millennia,2000,137,Throwbot Slizer
8521-1,Flare,2000,44,Throwbot Slizer
8522-1,Spark,2000,35,Throwbot Slizer
8523-1,Blaster / Blaster Slizer,2000,89,Throwbot Slizer
C8500-1,Robotops (8500 + 8501 + 8502 + 8503),1999,96,Throwbot Slizer
C8504-1,Ultrarex (8504 + 8505 + 8506 + 8507),1999,88,Throwbot Slizer
C8521-1,Dynamo (8521 + 8522 + 8523),2000,142,Throwbot Slizer
8020-1,Universal Building Set,1984,119,Universal Building Set
8022-1,TECHNIC Starter Set,1993,118,Universal Building Set
8024-1,Universal Building Set,1989,114,Universal Building Set
8030-1,Universal Building Set,1982,141,Universal Building Set
8032-1,Universal Set,1994,212,Universal Building Set
8034-1,Universal Building Set,1989,187,Universal Building Set
8035-1,Universal Building Set,1986,174,Universal Building Set
8040-1,Universal Building Set,1984,162,Universal Building Set
8042-1,Universal Pneumatic Set,1993,240,Universal Building Set
8044-1,Universal Pneumatic Set,1989,200,Universal Building Set
8050-1,Universal Building Set,1982,142,Universal Building Set
8054-1,Universal Building Set,1989,196,Universal Building Set
8055-1,Universal Building Set with Motor,1986,188,Universal Building Set
8062-1,Universal Set with Storage Case,1994,410,Universal Building Set
8064-1,Motorized Universal Building Set,1990,221,Universal Building Set
8074-1,Universal Building Set with Flex System,1991,317,Universal Building Set
8082-1,Universal Building Set,1993,460,Universal Building Set
8090-1,TECHNIC Universal Set,1982,274,Universal Building Set
8094-1,TECHNIC Control Centre,1990,549,Universal Building Set
8244-1,Convertables,1996,276,Universal Building Set
8485-1,Control Centre / Control II,1995,1067,Universal Building Set
11938-1,Robot,2020,45,Creator
11939-1,Octopus,2020,63,Creator
11940-1,Fortress,2020,52,Creator
11941-1,Frog,2020,56,Creator
11942-1,Lunar Lander,2020,45,Creator
11943-1,Fire Ant,2020,25,Creator
11944-1,Skull,2021,39,Creator
11945-1,Steam Locomotive,2021,38,Creator
11946-1,Penguin,2021,48,Creator
11947-1,Time Machine,2021,39,Creator
11948-1,Carnivorous Plant,2021,43,Creator
11949-1,Parrot,2021,44,Creator
11950-1,Racing Car,2021,34,Creator
11951-1,Orangutan,2021,51,Creator
11952-1,Wind Energy,2021,38,Creator
11953-1,Gecko,2021,36,Creator
11954-1,Spaceship,2021,40,Creator
11955-1,Lion,2021,47,Creator
11961-1,Helicopter,2022,40,Creator
11962-1,Robot,2022,41,Creator
11963-1,Dinosaur,2022,51,Creator
11964-1,Submarine,2022,31,Creator
11965-1,Excavator,2022,48,Creator
11966-1,Pirate Ship,2022,33,Creator
11967-1,Dragon,2022,58,Creator
11968-1,Spider,2022,40,Creator
11969-1,Fire Vehicle,2022,28,Creator
11974-1,Polar Bear,2023,56,Creator
11975-1,Tractor,2023,25,Creator
11976-1,Spaceship,2023,45,Creator
11977-1,Hammerhead Shark,2023,40,Creator
11978-1,Viking Ship,2023,48,Creator
1270-2,Trial Size Bag - Chromika,2005,16,Creator
20001-1,BrickMaster,2007,103,Creator
20003-1,Dinosaur,2008,102,Creator
